datetime,y,week,soldout,name,kcal,remarks,event,payday,weather,precipitation,temperature
2013-11-26,145,火,0,豚のスタミナ炒め,,,,,快晴,--,17.9
2013-11-28,151,木,0,ハンバーグ,,,,,薄曇,--,17.7
2013-12-3,153,火,1,厚揚げ豚生姜炒め,,,,,快晴,--,13.9
2013-12-5,171,木,0,鶏のカッシュナッツ炒め,,,,,快晴,--,13.8
2013-12-9,165,月,1,ハンバーグデミソース,,,,,曇,--,9.1
2013-12-11,157,水,0,五目御飯,,,,,曇,--,11.0
2013-12-16,160,月,0,カキフライタルタル,,,,,快晴,--,11.3
2013-12-19,151,木,0,ポーク味噌焼き,,,,,雨,0.5,6.8
2014-1-7,131,火,0,カレー入りソーセージカツ,404.0,,,,快晴,--,7.3
2014-1-9,129,木,1,鶏チリソース,435.0,,,,曇,--,10.9
2014-1-15,134,水,0,さんま辛味焼,450.0,,,,曇,--,2.9
2014-1-21,129,火,1,サバ焼味噌掛け,447.0,,,,快晴,--,10.4
2014-1-27,126,月,1,チンジャオロース,415.0,,,,快晴,--,5.1
2014-1-29,121,水,1,チーズ入りメンチカツ,450.0,,,,快晴,--,10.3
2014-2-3,139,月,1,ハンバーグカレーソース,445.0,,,,晴れ,--,15.9
2014-2-5,126,水,1,鶏のピリ辛焼き,420.0,,,,快晴,--,3.0
2014-2-10,137,月,0,鶏の唐揚げおろしソース,423.0,,,1.0,曇,--,7.8
2014-2-17,137,月,1,チンジャオロース,416.0,,,,晴れ,--,11.6
2014-2-19,113,水,0,ハンバーグ和風きのこソース,405.0,,,,薄曇,--,7.3
2014-2-24,129,月,1,ポークハヤシ,408.0,,,,曇,--,6.6
2014-2-26,104,水,0,鶏チリソース,384.0,,,,晴れ,--,11.5
2014-3-3,131,月,0,ハンバーグカレーソース,407.0,,,,曇,--,7.8
2014-3-5,110,水,1,メンチカツ,393.0,,,,雨,1.5,6.1
2014-3-10,123,月,0,海老クリーミ―クノーデル,385.0,,,1.0,曇,--,7.6
2014-3-13,80,木,1,手作りロースカツ,372.0,,,,雨,0.5,15.2
2014-3-17,129,月,0,鶏の唐揚げおろしソース,382.0,,,,快晴,--,14.0
2014-3-24,102,月,0,マーボ豆腐,350.0,,,,快晴,--,17.4
2014-3-28,106,金,0,キーマカレー,,お楽しみメニュー,,,快晴,--,18.5
2014-4-1,125,火,1,メンチカツ,377.0,,,,薄曇,--,16.1
2014-4-3,100,木,1,酢豚,390.0,,,,雨,1,14.3
